name,requests
MX,66899
US,24085
FR,16360
JP,3698
SG,3080
IN,3012
CA,2687
AU,2423
ID,1926
ES,1810
NO,1578
CN,1466
CH,1382
CO,1349
KR,1334
AR,1252
CL,1234
NL,1025
IT,937
DE,869
BR,547
GB,540
CR,436
VE,418
HK,378
GT,349
IE,281
UY,241
EC,232
BE,216
PL,206
SV,194
SE,185
DO,152
HN,150
PE,144
AT,138
TW,131
BO,111
RU,91
LT,80
UA,78
MY,67
RO,65
FI,65
PA,46
VN,44
PR,38
HU,34
GR,33
LU,31
PT,29
NI,26
CZ,26
ZA,24
TH,24
NZ,23
CU,23
DK,21
LV,20
AE,18
JO,14
PH,13
KH,12
TR,11
T1,10
PY,10
PK,7
BG,7
SI,6
TN,5
QA,4
IL,4
NP,4
SY,3
JM,3
KE,3
TL,2
EG,2
OM,2
AL,2
KZ,2
RS,2
AD,2
MM,2
KW,2
WS,2
SA,1
UZ,1
BD,1